name,category,count,first_mentioned_in,example_note
residents,other,46,January 20.pdf,"Resident passed away, Rewriting Resident Council bylaws, Behavioral Health Program | discussed resident councilmembers receiving stipends | Affordable Behavioral Advisory (Dwight Riley attended the Resident Council meeting)"
report,plumbing_fixtures,45,January 20.pdf,Approved the financial report
coordinator,services,23,April 21.pdf,Hiring a coordinator for elderly/disabled services.
regrant,services,22,September 20.pdf,Apply for ROSS Grant
units,other,20,April 20.pdf,Funding: HUD requiring a letter from the IRS with the tax ID # being utilized for the various units.
building,services,17,March 20.pdf,Visitors frequenting the building | The building is being cleaned 3 times a week by 2 different companies
elevator,big_equipment,16,May 20.pdf,- Elevator
repositioning,services,14,January 20.pdf,Repositioning (reviewing options and administrative and back sides)
inspections,services,12,January 20.pdf,City inspections and repairs
staff,other,11,March 20.pdf,Office staff perceived as abandoning residents | Office staff will be teleworking until further notice | Keisha (staff) created a share drive | Property cameras have been updated to allow staff to watch the cameras via remote 24 hours a day
rfp,services,10,May 20.pdf,- RFP
garden,other,7,January 20.pdf,"discussed the water issue in the garden area | discussed replacement of faucets, handicap handles, garden (catch rain water)"
hvac,hvac,7,November 20.pdf,"employee designations, rental of office space, rental revenue, maintenance and operational materials, contract costs, back up information for insurance rates, water treatment (cooling tower), Covid expenses, employee benefits, HVAC and plumbing upgrades."
hvac system,big_equipment,7,November 20.pdf,"employee designations, rental of office space, rental revenue, maintenance and operational materials, contract costs, back up information for insurance rates, water treatment (cooling tower), Covid expenses, employee benefits, HVAC and plumbing upgrades."
maintenance,services,7,February 20.pdf,- Maintenance: There has been a maintenance technician employee that was acquired from Glenarden Housing Authority.
training expenses,services,7,April 21.pdf,Training: The Board discussed leadership training for all commissioners.
tree,other,7,January 22.pdf,"Residents assisted with holiday celebrations, tree decorating ceremony and a celebration party"
trees,other,7,January 22.pdf,"Residents assisted with holiday celebrations, tree decorating ceremony and a celebration party"
water,services,7,January 20.pdf,"discussed the water issue in the garden area | discussed replacement of faucets, handicap handles, garden (catch rain water)"
bait,services,6,March 20.pdf,Concerns about ants and pest control
capital fund,other,6,October 22.pdf,"Received $237,509.00 for 2022 Capital fund"
fire system,services,6,March 22.pdf,Fire extinguisher inspection
parking lot,other,6,February 20.pdf,- Services: Parking lot plan approved by P.G.
position,other,6,July 20.pdf,"Budget items: Cameras will be installed (in front of building, laundry room, and blind spots), physical needs assessment projects, accountant putting together salaries, additional positions, repairs of first floor, repairs denied by insurance company because of delayed submission of claims, and Board suggestions of further budget items."
repairs,other,6,January 20.pdf,City inspections and repairs
bus,services,5,March 20.pdf,Bus schedules to grocery store available
cdbg grant,other,5,July 22.pdf,- Update CDBG: The Board reviewed/discussed the CDBG grant.
laundry,appliances,5,January 20.pdf,discussed funds for laundry
pest control,services,5,March 20.pdf,Concerns about ants and pest control
pest treatment,services,5,March 20.pdf,Concerns about ants and pest control
plumbing,plumbing_fixtures,5,November 20.pdf,"employee designations, rental of office space, rental revenue, maintenance and operational materials, contract costs, back up information for insurance rates, water treatment (cooling tower), Covid expenses, employee benefits, HVAC and plumbing upgrades."
plumbing fixtues,plumbing_fixtures,5,November 20.pdf,"employee designations, rental of office space, rental revenue, maintenance and operational materials, contract costs, back up information for insurance rates, water treatment (cooling tower), Covid expenses, employee benefits, HVAC and plumbing upgrades."
wildlife control,services,5,March 20.pdf,Concerns about ants and pest control
arts and crafts,other,4,July 22.pdf,"- Gave a presentation of events and resident activities (covid vaccine clinic, national freeze pop day, meals on wheels, resident walks, arts and crafts, and bingo)"
boiler,hvac,4,July 22.pdf,"- Property Updates: Storm damage, several trees came down, tree fell down on the HVAC unit (outside boiler), and the insurance deductible was 1% of $15M."
boiler system,hvac,4,July 22.pdf,"- Property Updates: Storm damage, several trees came down, tree fell down on the HVAC unit (outside boiler), and the insurance deductible was 1% of $15M."
booster/flu shots,other,4,September 20.pdf,Flu shots
call center,services,4,May 20.pdf,"- Call center | ec cleaning, staff and resident PPE, language translation service, call center, other) | call center"
cameras,electrical,4,March 20.pdf,Property cameras have been updated to allow staff to watch the cameras via remote 24 hours a day
capital food bank,other,4,January 22.pdf,42 residents received food from the Capital Food Bank
christmas,other,4,January 25.pdf,Resident council president Chauncey Taylor mentioned the Christmas and New Year festivities.
