category_group,name,count,first_mentioned_in,example_note
Other,residents,46,January 20.pdf,"Resident passed away, Rewriting Resident Council bylaws, Behavioral Health Program | discussed resident councilmembers receiving stipends | Affordable Behavioral Advisory (Dwight Riley attended the Resident Council meeting)"
Plumbing Fixtures,report,45,January 20.pdf,Approved the financial report
Services,coordinator,23,April 21.pdf,Hiring a coordinator for elderly/disabled services.
Services,regrant,22,September 20.pdf,Apply for ROSS Grant
Other,units,20,April 20.pdf,Funding: HUD requiring a letter from the IRS with the tax ID # being utilized for the various units.
Services,building,17,March 20.pdf,Visitors frequenting the building | The building is being cleaned 3 times a week by 2 different companies
Big Equipment,elevator,16,May 20.pdf,- Elevator
Services,repositioning,14,January 20.pdf,Repositioning (reviewing options and administrative and back sides)
Services,inspections,12,January 20.pdf,City inspections and repairs
Other,staff,11,March 20.pdf,Office staff perceived as abandoning residents | Office staff will be teleworking until further notice | Keisha (staff) created a share drive | Property cameras have been updated to allow staff to watch the cameras via remote 24 hours a day
Services,rfp,10,May 20.pdf,- RFP
Other,garden,7,January 20.pdf,"discussed the water issue in the garden area | discussed replacement of faucets, handicap handles, garden (catch rain water)"
Hvac,hvac,7,November 20.pdf,"employee designations, rental of office space, rental revenue, maintenance and operational materials, contract costs, back up information for insurance rates, water treatment (cooling tower), Covid expenses, employee benefits, HVAC and plumbing upgrades."
Big Equipment,hvac system,7,November 20.pdf,"employee designations, rental of office space, rental revenue, maintenance and operational materials, contract costs, back up information for insurance rates, water treatment (cooling tower), Covid expenses, employee benefits, HVAC and plumbing upgrades."
Services,maintenance,7,February 20.pdf,- Maintenance: There has been a maintenance technician employee that was acquired from Glenarden Housing Authority.
Services,training expenses,7,April 21.pdf,Training: The Board discussed leadership training for all commissioners.
Other,tree,7,January 22.pdf,"Residents assisted with holiday celebrations, tree decorating ceremony and a celebration party"
Other,trees,7,January 22.pdf,"Residents assisted with holiday celebrations, tree decorating ceremony and a celebration party"
Services,water,7,January 20.pdf,"discussed the water issue in the garden area | discussed replacement of faucets, handicap handles, garden (catch rain water)"
Services,bait,6,March 20.pdf,Concerns about ants and pest control
Other,capital fund,6,October 22.pdf,"Received $237,509.00 for 2022 Capital fund"
Services,fire system,6,March 22.pdf,Fire extinguisher inspection
Other,parking lot,6,February 20.pdf,- Services: Parking lot plan approved by P.G.
Other,position,6,July 20.pdf,"Budget items: Cameras will be installed (in front of building, laundry room, and blind spots), physical needs assessment projects, accountant putting together salaries, additional positions, repairs of first floor, repairs denied by insurance company because of delayed submission of claims, and Board suggestions of further budget items."
Other,repairs,6,January 20.pdf,City inspections and repairs
Services,bus,5,March 20.pdf,Bus schedules to grocery store available
Other,cdbg grant,5,July 22.pdf,- Update CDBG: The Board reviewed/discussed the CDBG grant.
Appliances,laundry,5,January 20.pdf,discussed funds for laundry
Services,pest control,5,March 20.pdf,Concerns about ants and pest control
Services,pest treatment,5,March 20.pdf,Concerns about ants and pest control
Plumbing Fixtures,plumbing,5,November 20.pdf,"employee designations, rental of office space, rental revenue, maintenance and operational materials, contract costs, back up information for insurance rates, water treatment (cooling tower), Covid expenses, employee benefits, HVAC and plumbing upgrades."
Plumbing Fixtures,plumbing fixtues,5,November 20.pdf,"employee designations, rental of office space, rental revenue, maintenance and operational materials, contract costs, back up information for insurance rates, water treatment (cooling tower), Covid expenses, employee benefits, HVAC and plumbing upgrades."
Services,wildlife control,5,March 20.pdf,Concerns about ants and pest control
Other,arts and crafts,4,July 22.pdf,"- Gave a presentation of events and resident activities (covid vaccine clinic, national freeze pop day, meals on wheels, resident walks, arts and crafts, and bingo)"
Hvac,boiler,4,July 22.pdf,"- Property Updates: Storm damage, several trees came down, tree fell down on the HVAC unit (outside boiler), and the insurance deductible was 1% of $15M."
Hvac,boiler system,4,July 22.pdf,"- Property Updates: Storm damage, several trees came down, tree fell down on the HVAC unit (outside boiler), and the insurance deductible was 1% of $15M."
Other,booster/flu shots,4,September 20.pdf,Flu shots
Services,call center,4,May 20.pdf,"- Call center | ec cleaning, staff and resident PPE, language translation service, call center, other) | call center"
Electrical,cameras,4,March 20.pdf,Property cameras have been updated to allow staff to watch the cameras via remote 24 hours a day
Other,capital food bank,4,January 22.pdf,42 residents received food from the Capital Food Bank
Other,christmas,4,January 25.pdf,Resident council president Chauncey Taylor mentioned the Christmas and New Year festivities.
Services,courtesy officer,4,July 20.pdf,Courtesy Officers: Two courtesy officers have been chosen to work at Attick Towers.
Services,leases,4,May 20.pdf,- Leases
Other,lobby,4,March 22.pdf,New furniture in the lobby
Services,security officer,4,November 20.pdf,Security Officer: Lt. | Security Officer: hiring courtesy officer
Hvac,air conditioner,3,July 22.pdf,"- Property Updates: Storm damage, several trees came down, tree fell down on the HVAC unit (outside boiler), and the insurance deductible was 1% of $15M."
Services,cleaner,3,March 20.pdf,Cleaners doing a great job
Services,cleaners,3,March 20.pdf,Cleaners doing a great job
Services,cleaning,3,May 20.pdf,"ec cleaning, staff and resident PPE, language translation service, call center, other)"
Doors Windows,door,3,July 21.pdf,Residents of Attick Towers liked the new Board meeting entrance door.
Doors Windows,doors,3,July 21.pdf,Residents of Attick Towers liked the new Board meeting entrance door.
Big Equipment,equipment,3,July 21.pdf,"- Grant funds to be utilized for salary of services coordinator, training, training travel expenses, administrative costs, and office equipment and space for coordinator, etc."
Services,forms,3,February 20.pdf,"Simpson information, forms, and the pull down of $40K."
Big Equipment,generator,3,October 24.pdf,"Applying for the CDBG grant PY51, (Cooling Tower replacement for $78,720.00, Generator replacement for $224,500.00, Boiler replacement for $155,842.00)"
Big Equipment,hvac unit,3,July 22.pdf,"- Property Updates: Storm damage, several trees came down, tree fell down on the HVAC unit (outside boiler), and the insurance deductible was 1% of $15M."
Other,leak,3,September 21.pdf,Leak in Community Room
Plumbing Fixtures,piping,3,March 22.pdf,RSC piping contract for the 1° floor
Other,police officers,3,May 20.pdf,"tepecre cla Tag plicants as a live-in special police officer, and a high end shift special officer, as | Johnson moving Teperekla Tag plicants as a live-in special police officer, and a high end shift special officer, as live in and high end shift"
Services,smoking,3,March 23.pdf,"Evans discussed problems with residents smoking in the front of the building, and dog concerns."
Services,trash,3,February 23.pdf,Trash chute proposal | status of bulk trash pick-up
Big Equipment,vending machine,3,April 21.pdf,Vending Machines: The residents responded through the survey; they approve of the installation of a vending machine.
Big Equipment,vending machines,3,April 21.pdf,Vending Machines: The residents responded through the survey; they approve of the installation of a vending machine.
Services,website,3,May 20.pdf,- Website
Services,accounts,2,February 20.pdf,"Issues: - The eLOCCS payment system, capital operation, working on bank account at SunTrust to switch over, paperwork, Mr. | Simpson no longer has access to any accounts."
Electrical,alarm system,2,December 23.pdf,reported a fire alarm going off
Other,article,2,January 25.pdf,Michelle Johnson was recognized in the Hear and Now article.
Other,asbestos,2,May 22.pdf,"completion of an asbestos, molding, mechanical, engineering, and plumbing report"
Other,asbestos report,2,May 22.pdf,"completion of an asbestos, molding, mechanical, engineering, and plumbing report"
Services,bank account,2,February 20.pdf,"Issues: - The eLOCCS payment system, capital operation, working on bank account at SunTrust to switch over, paperwork, Mr."
Services,bus trips,2,July 22.pdf,- Store bus trips and upcoming events
Other,community room,2,September 21.pdf,Leak in Community Room
Other,compost,2,March 22.pdf,Garden (compost delivery)
Appliances,dryer,2,Oct 20.pdf,Laundry machines: Converting the laundry and dryer machines from coin to card acceptance
Big Equipment,elevator replacement,2,March 23.pdf,PY49 grant: HACCP awarded $414K to be utilized for the elevator replacement
Other,engineering report,2,May 22.pdf,"completion of an asbestos, molding, mechanical, engineering, and plumbing report"
Plumbing Fixtures,faucet,2,January 20.pdf,"discussed replacement of faucets, handicap handles, garden (catch rain water)"
Plumbing Fixtures,faucets,2,January 20.pdf,"discussed replacement of faucets, handicap handles, garden (catch rain water)"
Plumbing Fixtures,faucets/sinks,2,January 20.pdf,"discussed replacement of faucets, handicap handles, garden (catch rain water)"
Services,handicapped parking enforcement,2,January 20.pdf,Parking permits have expired and have been re submitted
Other,new year,2,January 25.pdf,Carl Patterson wished everyone a Happy New Year and thanked the staff of Attick Towers for their work. | Resident council president Chauncey Taylor mentioned the Christmas and New Year festivities.
Services,parking permits,2,January 20.pdf,Parking permits have expired and have been re submitted
Plumbing Fixtures,pipe,2,September 21.pdf,Update Dual Pipe RFP
Other,ppe,2,May 20.pdf,"ec cleaning, staff and resident PPE, language translation service, call center, other)"
Services,renovation,2,December 22.pdf,"Evans discussed the pest control company, renovation of units, and a walk through of the renovated units"
Services,roof,2,January 24.pdf,Roof leak repair completed
Plumbing Fixtures,sink,2,January 20.pdf,"discussed replacement of faucets, handicap handles, garden (catch rain water)"
Small Equipment,solar panels,2,May 23.pdf,The HACCP is looking to install solar panels at the property.
Service,structure,2,May 21.pdf,"4) Communication Structure: Ms. | Johnson discussed the structure of communication between the Board, Executive Director and staff."
Services,surveillance,2,Oct 20.pdf,Security grant: Applying for a HUD grant for surveillance and lighting
Electrical,switch,2,February 20.pdf,"Issues: - The eLOCCS payment system, capital operation, working on bank account at SunTrust to switch over, paperwork, Mr."
Big Equipment,trash dumpster,2,February 23.pdf,Trash chute proposal
Plumbing Fixtures,tub,2,March 23.pdf,Norman discussed her bath tub needing to be replaced.
Doors Windows,activity room,1,May 23.pdf,French doors installed in the lobby to allow easier access into the activity room by wheelchair.
Services,administrative costs,1,July 21.pdf,"- Grant funds to be utilized for salary of services coordinator, training, training travel expenses, administrative costs, and office equipment and space for coordinator, etc."
Other,american flag,1,April 21.pdf,Replacement of the American flag
Services,ants,1,March 20.pdf,Concerns about ants and pest control
Services,bed bugs,1,April 21.pdf,"Resident visually noted as having bugs on them, getting the resident help through the senior program, residents unit treated for bed bugs and scheduled for a second treatment, and resident received a violation letter for the condition of their unit."
Services,building inspection,1,January 24.pdf,Building inspection on 12/18/23 (repairs needed)
Other,bully boards,1,March 20.pdf,Posting of flyers and information on bulletin boards
Electrical,camera system,1,March 25.pdf,"Chauncey Taylor: discussed the update of the camera system, vending machines, generating income for | Emergency and safety grants for security, camera system, and gates."
Big Equipment,capital operation,1,February 20.pdf,"Issues: - The eLOCCS payment system, capital operation, working on bank account at SunTrust to switch over, paperwork, Mr."
Big Equipment,cargo elevator,1,September 25.pdf,Cargo elevator floor has been laid.
Big Equipment,chiller,1,May 22.pdf,problems with the chiller were repaired on Saturday
Services,cleaning workshop,1,November 24.pdf,Hosting mandatory house cleaning workshop
Services,code enforcement,1,February 20.pdf,"County, Storm drain management, Proposal for parking permits, Code enforcement inspection, Re inspection of emergency items"
Services,commissioner training,1,May 23.pdf,"Commissioner training: Ms. | Added items to the agenda: Commissioner training, bylaws, CBDG grant, and repositioning plan"
Other,condoms,1,March 25.pdf,"the resident council, and condoms left around the building."
Other,curbside produce services,1,January 24.pdf,Curbside fresh produce mobile services shop
Other,decorated holiday tree,1,December 22.pdf,"Events: Capital Food Bank, booster/Flu shots, decorated holiday tree, arts and crafts, and holiday dinner, overview of annual goals, 48% resident participation, and fiscal end report submitted on 10/24/22"
Other,dog,1,March 23.pdf,"Evans discussed problems with residents smoking in the front of the building, and dog concerns."
Plumbing Fixtures,drain,1,February 20.pdf,"County, Storm drain management, Proposal for parking permits, Code enforcement inspection, Re inspection of emergency items"
Doors Windows,egress updates,1,April 25.pdf,Egress updates
Hvac,electrical,1,July 22.pdf,"- Repositioning: Tested for asbestos, mold, and performed an evaluation on the electrical, plumbing, and structure of the building."
Electrical,elevator doors,1,September 25.pdf,Painting of elevator doors
Accessibility Safety Features,elevator handle/ handicap handle,1,January 20.pdf,"discussed replacement of faucets, handicap handles, garden (catch rain water)"
Other,emergency items,1,February 20.pdf,"County, Storm drain management, Proposal for parking permits, Code enforcement inspection, Re inspection of emergency items"
Services,energy use,1,January 25.pdf,The proposal submitted by GEMM COMM for the opportunity to assist Attick Towers in optimizing their energy use and generate renewable power.
Big Equipment,f & b laundry equipment,1,September 25.pdf,F & B laundry equipment.
Other,fire damage,1,November 25.pdf,"A resident discussed fire damage to the building, and roofing repairs."
Small Equipment,fire extinguisher,1,March 22.pdf,Fire extinguisher inspection
Other,floor captains,1,September 25.pdf,Reinstated floor captains.
Doors Windows,french doors,1,May 23.pdf,French doors installed in the lobby to allow easier access into the activity room by wheelchair.
Small Equipment,furniture,1,March 22.pdf,New furniture in the lobby
Doors Windows,gates,1,March 25.pdf,"Emergency and safety grants for security, camera system, and gates."
Other,geo tech review,1,July 21.pdf,"- Suggested to reach the goal by doing a Geo Tech review, Structural engineer review, and Soil boring study"
Accessibility Safety Features,hand railing,1,September 25.pdf,Bay discussed visitors and hand railing.
Accessibility Safety Features,handicap handle,1,January 20.pdf,"discussed replacement of faucets, handicap handles, garden (catch rain water)"
Accessibility Safety Features,handicap handles,1,January 20.pdf,"discussed replacement of faucets, handicap handles, garden (catch rain water)"
Other,holiday dinner,1,December 22.pdf,"Events: Capital Food Bank, booster/Flu shots, decorated holiday tree, arts and crafts, and holiday dinner, overview of annual goals, 48% resident participation, and fiscal end report submitted on 10/24/22"
Hvac,hot water,1,July 21.pdf,- Reviewed water bills at Attick Towers for errors (none were discovered) | - Goal to bring water bill down 32%
Services,landscape company,1,July 22.pdf,- Landscape company took care of fallen trees
Services,language translation service,1,May 20.pdf,"ec cleaning, staff and resident PPE, language translation service, call center, other) | language translation service"
Services,leader training,1,April 21.pdf,Training: The Board discussed leadership training for all commissioners.
Electrical,light,1,June 21.pdf,Why are lights off in the front office
Electrical,lighting,1,Oct 20.pdf,Security grant: Applying for a HUD grant for surveillance and lighting
Other,maintenance technician,1,February 20.pdf,- Maintenance: There has been a maintenance technician employee that was acquired from Glenarden Housing Authority.
Other,mechanical report,1,May 22.pdf,"completion of an asbestos, molding, mechanical, engineering, and plumbing report"
Other,mold,1,July 22.pdf,"- Repositioning: Tested for asbestos, mold, and performed an evaluation on the electrical, plumbing, and structure of the building."
Other,molding report,1,May 22.pdf,"completion of an asbestos, molding, mechanical, engineering, and plumbing report"
Doors Windows,new board meeting entrance door,1,July 21.pdf,Residents of Attick Towers liked the new Board meeting entrance door.
Small Equipment,office equipment,1,July 21.pdf,"- Grant funds to be utilized for salary of services coordinator, training, training travel expenses, administrative costs, and office equipment and space for coordinator, etc."
Services,parking stickers,1,February 23.pdf,Parking concerns (parking stickers and enforcement)
Services,pest control company,1,December 22.pdf,"Evans discussed the pest control company, renovation of units, and a walk through of the renovated units"
Services,phone service,1,May 22.pdf,an issue with the phone service which will continue until further notice
Services,physical needs assessment projects,1,July 20.pdf,"Budget items: Cameras will be installed (in front of building, laundry room, and blind spots), physical needs assessment projects, accountant putting together salaries, additional positions, repairs of first floor, repairs denied by insurance company because of delayed submission of claims, and Board suggestions of further budget items."
Small Equipment,pool table,1,February 23.pdf,update on pool table purchase
Services,property assessment,1,February 26.pdf,Repositioning: Received the property assessment
Electrical,property cameras,1,March 20.pdf,Property cameras have been updated to allow staff to watch the cameras via remote 24 hours a day
Services,reinspection,1,January 24.pdf,Reinspection scheduled for February
Services,renewable power,1,January 25.pdf,The proposal submitted by GEMM COMM for the opportunity to assist Attick Towers in optimizing their energy use and generate renewable power.
Services,repairs of first floor,1,July 20.pdf,"Budget items: Cameras will be installed (in front of building, laundry room, and blind spots), physical needs assessment projects, accountant putting together salaries, additional positions, repairs of first floor, repairs denied by insurance company because of delayed submission of claims, and Board suggestions of further budget items."
Services,repositioning plan,1,May 23.pdf,"Repositioning plan: HUD representative was Ms. | Added items to the agenda: Commissioner training, bylaws, CBDG grant, and repositioning plan"
Services,residence,1,April 25.pdf,Kilpatrick discussed the water in her residence takes a long time to get hot.
Services,roach,1,November 24.pdf,roach infestation
Services,roof leak repair,1,January 24.pdf,Roof leak repair completed
Services,salary of services coordinator,1,July 21.pdf,"- Grant funds to be utilized for salary of services coordinator, training, training travel expenses, administrative costs, and office equipment and space for coordinator, etc."
Services,security service,1,April 21.pdf,New security service company started on Attick Towers
Services,sewer,1,February 22.pdf,Email concerning the WSSC beginning a major sewer project in north College Park called the Northeast Branch Basin Sanitary-Sewer System Rehabilitation
Plumbing Fixtures,shower,1,July 21.pdf,"- Replace toilets, shower heads, and rebuild faucets"
